微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数
FgCCb7Cxn,旅行中的你会是什么样子呢？你有什么有趣的旅行经历？跟我一起#带着微博去旅行# 晒出你的照片 就有机会被我看到哦  原图 ,无,2017-08-11 17:50,weibo.com,393814,608408,108085
FgAX2El0c,"转发理由:很高兴加入Converse 家族 用真我 为喜欢的品牌代言 关注@CONVERSE中国 看看我准备了什么惊喜给你们  
原始用户: CONVERSE中国
转发内容: 做别人不敢做的，是他的与众不同，也是Converse的精神核心。@努力努力再努力x 欢迎#张艺兴# 加入Converse家族，成为亚太区品牌代言人，演绎#ONESTAR# 球鞋全新型录！http://t.cn/R9m93sA  [组图共3张] 原图 ",无,2017-08-11 13:36,weibo.com,408904,960166,74295
FgzxLBK3b,很高兴加入Converse家族! 真实表达 勇敢尝试  用最真实的我 演绎#ONESTAR# 精神 关注 @CONVERSE中国  我有特别的礼物 要送你张艺兴工作室的秒拍视频  ,无,2017-08-11 10:01,weibo.com,271724,555732,130389
FgiK6g7e2,祈祷平安[祈祷]  ,无,2017-08-09 15:15,weibo.com,473317,298478,99886
FfSIGuIQH,今晚该我上场了 可是我的特效还没到  原图 ,无,2017-08-06 21:00,weibo.com,599102,610444,123746
FfPHV29MT,我只想说 二胎真的很牛掰张艺兴工作室的秒拍视频  ,无,2017-08-06 13:20,weibo.com,398532,561594,112893
Ff4NojAtK,因有幸在《建军大业》中 饰演了一次军人 所以这个建军节的感受更加不一样 建军九十周年之际 在此 向祖国军人致敬 向革命先烈 致敬  ,无,2017-08-01 13:54,weibo.com,483011,763133,145986
FeOkPnVq3,请假条  [组图共2张] 原图 ,无,2017-07-30 20:00,weibo.com,702205,589380,156818
FeGtKp6UA,@羅志祥 小猪哥 生日快乐 祝你新的一岁 身体更健康 脑子更灵光  烦恼全不见 吃饭全包圆 还有 请我卤肉饭～爱你的羊[绵羊]  原图 ,无,2017-07-30 00:00,weibo.com,682756,359228,101031
FetFC3wq4,"转发理由:致敬先辈 无上光荣  
原始用户: 电影建军大业
转发内容: “我们今天所做的一切，无上光荣！”——朱德《建军大业》 秒拍视频  ",无,2017-07-28 15:23,weibo.com,301961,315650,58717
FeiYvmhUj,在#极限挑战#中 我体验过不同的劳动角色 亲身感受了每份劳动的极限 职业没有普通 劳动也没有平凡跟我一起#发现极限劳动者# 致敬身边不平凡的人 致敬每一位极限劳动者@优酷 @东方卫视极限挑战 发现每份劳动背后的极限 我是极限劳动者  ,无,2017-07-27 12:10,weibo.com,264780,380859,74635
Fe1MjrH9q,#电影建军大业# 星星之火 可以燎原 满腔热血已沸腾 致敬革命先烈 7月27日 电影院见  原图 ,无,2017-07-25 16:23,weibo.com,492104,586327,110883
FdL051zJs,@黄渤  哥 我们都在香港 你怎么去大理咯 快回来  原图 ,无,2017-07-23 21:40,weibo.com,664928,544786,97341
FdA3b7519,一胎里的歌曲 有6首 二胎里的歌曲有？首  好听的歌曲送去千万家 再等一下 再等一下 我滴二胎就来啦张艺兴工作室的秒拍视频  ,无,2017-07-22 17:47,weibo.com,348279,309595,88165
FdzX7fzgt,小头一胎 大头二胎  一对好朋友 快乐兄弟两[绵羊][绵羊]张艺兴工作室的秒拍视频  ,无,2017-07-22 17:33,weibo.com,291435,305261,71155
FdzSVbMy3,说一个神话故事………张艺兴工作室的秒拍视频  ,无,2017-07-22 17:22,weibo.com,276444,336627,74433
Fds8AjdQR,为什么 为什么 到底是为什么http://t.cn/RKrJo1X  ,无,2017-07-21 21:39,weibo.com,365803,351322,129565
FcWHX7WQR,《#赛车总动员3#:极速挑战》定档825！没错 黑风暴杰克逊 就是我啦 师父 准备好接受我的挑战了吗？ @黄磊微博 @皮克斯官方微博 @迪士尼电影  原图 ,无,2017-07-18 13:38,weibo.com,316118,662854,116843
FcPNUqiVp,……你们都搞我是吧  [组图共3张] 原图 ,无,2017-07-17 20:03,weibo.com,571984,355065,104893
FcGyDpqxI,今晚的节目有这～～～～么好看我大概有这～～～～么厉害  原图 ,无,2017-07-16 20:31,weibo.com,513294,295064,97438
FcCvTjdXk,"转发理由:#来啊一起纯真啊#哥 我没想学坏 只是耳濡目染就没办法了 以后缺酸奶喝找我啊 爱你的羊  
原始用户: 黄渤
转发内容: @黄逗菌HDJ  来电，说公司前台已被酸奶“淹没”了正纠结要不要把它们都喝掉……我一看照片，嚯！@努力努力再努力x ，小绵羊啊小绵羊，做了代言人了，出手那可是相当大气，整整100箱酸奶。只要你不跟那几个老男人学坏了，我们还是很纯很真的……爱你的渤  [组图共5张] 原图 ",无,2017-07-16 10:13,weibo.com,453801,239057,39030
FcA8lcBn5,又一次来成都 现在已经安全落地 走VIP出去了 感谢来接机的粉丝朋友们 抱歉让你们久等了 赶快回家休息 很晚了 不要让家里人和我担心  ,无,2017-07-16 04:10,weibo.com,470181,44242,32347
FcyNxgXLu,#极限挑战# 今天也一起xx一起飞@黄渤  @黄磊微博  @孙红雷  @演员王迅  @羅志祥  [组图共2张] 原图 ,无,2017-07-16 00:46,weibo.com,495304,153482,47291
Fcwndsr0D,想我吗 祝大家鸡年大吉除了视频里 必须期待的神秘内容还有今晚要播的大本营是几点播 我忘了反正大家都知道 对吧张艺兴工作室的秒拍视频  ,无,2017-07-15 18:36,weibo.com,363472,256747,72759
FccJx4uoq,#我行我动# 我行我动 没事儿翻翻手机张艺兴工作室的秒拍视频  ,无,2017-07-13 16:36,weibo.com,304093,534375,94199
Fc31a61bs,暑假作业做了吗？做完作业的你们 快奖励自己一支@可爱多 吧  7.23上海 我与最可爱的你们不见不散  原图 ,无,2017-07-12 15:52,weibo.com,290945,313348,63079
FbVjE8Rf0,"转发理由:#快乐大本营二十周年# 生日快乐陪伴我多年 一起成长的大本营  
原始用户: 快乐大本营
转发内容: 以快乐之名，与你相遇，我的青春有你，你的快乐有我，20岁，谢谢亲爱的你，陪我从过去到现在和未来前路可期，一直在一起！#快乐大本营二十周年#@何炅 @谢娜 @李维嘉 @吴昕 @杜海涛  原图 ",无,2017-07-11 20:15,weibo.com,250523,323423,39133
FbCqqaGyy,今晚十点看极限挑战都得加油了啊 各位 别让我赢得太轻松了啊 各位http://t.cn/RKqt3U8  ,无,2017-07-09 20:10,weibo.com,417473,606725,117072
Favz2BNDb,看到熟悉又陌生的家乡 看到受灾的乡亲 心中惦念 心疼 愿天佑湖南！也希望大家能积极响应志愿者服务 如果有可能 尽一份自己的力量 ！天灾无情人有情 致敬前线抗洪救灾的战士们 你们也要注意安全 咱们一起共度难关  湖南挺住！#湖南加油#  ,无,2017-07-02 12:51,weibo.com,420124,944723,220443
F9vWn8K3E,哇 恭喜黄渤哥又一次拿奖 每次听黄渤哥的感言都受益匪浅 祝贺黄渤哥 恭喜黄渤哥 也感谢黄渤导演 一起期待黄渤导演的第一部作品  [组图共2张] 原图 ,无,2017-06-25 23:58,weibo.com,465380,1000000,215265
F932yhLoN,今天的舞台 我演唱得非常糟糕 很抱歉  舞台导演 音响导演 彩排的时候我过于草率了  包括习惯性的抓麦动作很抱歉 成龙大哥 有愧于您对我的邀请 也很抱歉 一直期待着的歌迷朋友们很荣幸能站上这个特别的舞台 我今后吸取教训 准备的更加完善 给大家一个最完美的relax的舞台对不起  ,无,2017-06-22 22:24,weibo.com,518765,99952,155742
F8xfxuyF8,看见这个盘了吗 说翻就翻http://t.cn/Royuyjv  ,无,2017-06-19 13:28,weibo.com,372963,925435,173254
F8sIG9tLA,"转发理由:好滴导演 好滴编剧 好滴制作 好滴三叔 当然能有好滴作品 感谢团队所有工作人员 恭喜一哥和帅导演  
原始用户: 林楠
转发内容: 感谢团队的所有兄弟恭喜一哥和帅小子 有点娱乐的秒拍视频  ",无,2017-06-19 01:56,weibo.com,230078,141879,58532
F86iulnrb,？？？http://t.cn/RohfPux  ,无,2017-06-16 16:51,weibo.com,273214,808834,145328
F7KNgz9ZW,有一种命叫 这就是命 有一种信任 叫人与人之间要多一些信任 有一种感叹 叫哎哟喂 有一种动物 叫羊咩咩 有一种挑战叫 极限挑战 都说革命要有两手准备 智取过后 拼体力张艺兴工作室的秒拍视频  ,无,2017-06-14 10:07,weibo.com,380576,796109,161670
F6BkRhldN,携全体烤串 祝明天高考的 考生们 考的都会 别玩手机了 快睡觉  原图 ,无,2017-06-06 20:12,weibo.com,704271,900581,206964
F6rrrntTV,http://t.cn/RS9dDJ7  ,无,2017-06-05 19:00,weibo.com,275020,595286,133776
F6ri26FFe,http://t.cn/RS9BzM8  ,无,2017-06-05 18:37,weibo.com,223988,694897,137957
F6iB98nHI,努力为热爱而活 祝正在长沙签售的苏芒姐 新书大卖！  原图 ,无,2017-06-04 20:30,weibo.com,351171,386706,112183
F5Pq8EvXy,吃@可爱多 长大的小可爱 祝你节日快乐  原图 ,无,2017-06-01 18:13,weibo.com,493943,901787,134343
F5vkfe5Ul,端一个午 祝端午安康 大家记得吃粽子啊 我还不知道选甜的还是咸的  原图 ,无,2017-05-30 15:03,weibo.com,471110,654382,108758
F4C2h69dp,祝我们极限老男人帮 生日快乐 极限挑战新长大一岁 其实我的翻盘几率也增加了不少  [组图共2张] 原图 ,无,2017-05-24 18:18,weibo.com,461850,798656,101925
F41w1vqBA,为什么520是表白日 那521呢？  原图 ,无,2017-05-20 21:20,weibo.com,740394,1000000,207378
F3vXPlXwf,今天我升级为VIP7了  ,无,2017-05-17 13:00,weibo.com,275256,87360,30689
F35S28F1x,祝老妈母亲节快乐 因为太忙 也没什么礼物可以送你 见谅 也在这祝福天下伟大的妈妈们节日快乐 子女们记得发信息祝福下老妈o～^_^我感觉其实每个老妈都不容易 虽然会经常争执 争吵 但是她也是为你好 所以大家都多多理解 诶哟喂 都不容易  ,无,2017-05-14 18:35,weibo.com,429072,616892,82907
F2s5nD5H2,"转发理由:希望大家多多关注 一定要看 祝师父处女座大卖  
原始用户: 电影麻烦家族官微
转发内容: 麻烦家族[星星][星星][星星][星星][星星]，#电影麻烦家族##麻烦家族511#收到这么多好评，族长表示灰常地开心！感谢大家对电影的支持与喜爱电影明天上映，影院约起来！ 买票票戳这里→_→【猫眼】http://t.cn/RaZgy9x；【淘票票】http://t.cn/RipAU6o  原图 ",无,2017-05-10 13:18,weibo.com,225104,275322,51076
F1HTOuWM1,昨天过了一个不太一样的青年节 抱歉一直沉浸在激动之中 迟来的祝福 祝所有青年朋友们 昨天节日快乐  ,无,2017-05-05 15:43,weibo.com,486263,1000000,194126
F19nw8zdF,"转发理由:只能帮你到这了哈 赖哥 你自己加油吧  
原始用户: QQ音乐
转发内容: #QQ音乐独家首发#张艺兴@努力努力再努力x 为影视剧《求婚大作战》亲自创作并献唱的插曲>>祈愿 真诚上线！艺兴在略带伤感又悠扬婉转的曲调中，将青春的心事，用音乐的语言娓娓道来。“青春这答卷的答案，是有你陪伴。”相信每一个人都能在这首歌里找到那个青涩而纯真的自己，找到共鸣。#张艺兴祈愿#         [组图共4张]      原图                     ",无,2017-05-01 23:50,weibo.com,299446,321043,95676
F0BFGrFB0,"转发理由:猜不到那我先吃爆米花 答案看完电影补上//@黄渤:猜猜看，猜错的人要自罚吞一千颗爆米花#电影记忆大师# 明日明日明日上映  
原始用户: 电影记忆大师
转发内容: #电影记忆大师#曝公映特别版预告，记忆重载、包庇真凶，家庭暴力等诸多元素满满，多线叙事，多重角色，多个线索，在这场记忆迷局中，@黄渤 徐静蕾@鸡毛蒜皮与鸡毛蒜皮 @段奕宏 @杨子姗 @許瑋甯Ann 每个人都有嫌疑，到底谁才是真凶？4月28日，邀你影院一探究竟！http://t.cn/RX86yHT  ",无,2017-04-28 10:01,weibo.com,195826,109279,53746
F0sx2sVs0,欠你们的照片来了欣赏好的品位和创意 也有助于提升审美眼光和艺术感趁看展的时候 好好学习一下快放假了 建议你们也来看看吧#我在故宫看展览##中法珍宝艺术展#  [组图共3张] 原图 ,无,2017-04-27 10:45,weibo.com,588290,640840,140565
F0kmN1M0z,"转发理由:等我一定捧场师父厉害 师父加油 迅哥也厉害 迅哥也加油@演员王迅  //@黄磊微博:#麻烦家族511# 那天有空没空都来啊，我在家等着你  
原始用户: 电影麻烦家族官微
转发内容: #麻烦家族511# @黄磊微博 导演特辑来啦！第一次执导电影的黄磊，不借电影去证明什么，而是以好心态为大家讲故事，用故事表达自己的看法和观点。为遵从本心、踏实做事的导演点赞！电影麻烦家族官微的秒拍视频  ",无,2017-04-26 13:58,weibo.com,196924,21023,17415
F0jxgsnWQ,热烈祝贺咱们国家自行研制的 首艘国产航母正式下水[加油] 祝祖国繁荣昌盛 愿世界和平  ,无,2017-04-26 11:51,weibo.com,619727,280041,66226
F04HZ36Dm,"转发理由:我继续工作去了 因为 导演不让看现在的我 所以没照片 就给你们看看山看看海还有 看看赖哥吧 拜拜 再见 加油 谢谢 查看图片  
原始用户: 张艺兴工作室
转发内容: #张艺兴求婚大作战# 在看赖哥吗对，就差你了http://t.cn/RXjSO7P  原图 ",无,2017-04-24 22:06,weibo.com,240173,151623,44602
F04BR3QeF,"转发理由:好啦  
原始用户: 手机用户_19911007
转发内容: #求婚大作战# 我向 @努力努力再努力x 提问：严小赖！你再不回我 我就 我就…哭给你看哦！  ",无,2017-04-24 21:51,weibo.com,155702,10878,9851
F04Bgq6yR,@努力努力再努力x 正在直播，场面异常火爆，小伙伴们速来围观（@努力努力再努力x 的一直播）  ,无,2017-04-24 21:50,weibo.com,141276,42978,12643
F04u1hKp3,"转发理由:都一样 都一样 希望大家 也能喜欢他  
原始用户: 恋曲-nan
转发内容: #求婚大作战# 我向 @努力努力再努力x 提问：艺兴你要是不回我，我就不喜欢你了。。。。我要去喜欢小赖。。所以怕不怕。。快回我  ",无,2017-04-24 21:32,weibo.com,136237,9976,5791
F04tcqoKz,转发微博已被删除,无,2017-04-24 21:30,weibo.com,130878,10485,5819
F04smbjJ8,"转发理由:哼哼哼？？当然 你们会看嘛 提问 几点在哪里和哪里 可以看  
原始用户: 努力努力再努力-LYT
转发内容: #求婚大作战# 我向  @努力努力再努力x  提问：今晚会在电视机前守着看剧咩？？喵喵喵？？汪汪汪？？咩咩咩？？？ 呱呱呱？？？嘎嘎嘎？？？滴滴滴？？？咚咚咚？？？噗噗噗？？  ",无,2017-04-24 21:28,weibo.com,111035,9738,5827
F04pPfOqS,"转发理由:哟 激将法  
原始用户: ForeverEXO-L恰信一搜
转发内容: #求婚大作战# 我向 @努力努力再努力x 提问：小赖学长 我叫你一声你敢答应吗？  ",无,2017-04-24 21:21,weibo.com,115808,9866,5234
F04oKrrm2,转发微博已被删除,无,2017-04-24 21:19,weibo.com,136251,17252,12513
F04nnEn2S,"转发理由:那希望她 好好保重 注意身体  
原始用户: 灵歌忆
转发内容: #求婚大作战# 我向 @电视剧求婚大作战 @电视剧求婚大作战 @微博电视剧 @努力努力再努力x 提问：一个粉丝希望你亲亲她，因为如果不亲的话她就会狂拉肚子，你会亲吗？  ",无,2017-04-24 21:15,weibo.com,106330,16538,5344
F04m3vVuv,"转发理由:我觉得可以  
原始用户: X-backL
转发内容: #求婚大作战# 我向 @努力努力再努力x 提问：首页全是向你提问的  你能不能翻一下我的牌  让我装逼一整年@努力努力再努力x  ",无,2017-04-24 21:12,weibo.com,106645,10356,5163
F04ifn18R,"转发理由:不在不在  
原始用户: 张艺兴我要亲你一口
转发内容: #求婚大作战##我的小赖学长张艺兴#  我向 @努力努力再努力x 提问：在吗在吗这位同学？  ",无,2017-04-24 21:03,weibo.com,112382,27078,11503
EFwJf1Cxp,"转发理由:哎呦 求婚大作战的音乐不错哦  
原始用户: 电视剧求婚大作战
转发内容: 4月24日来东方卫视&腾讯视频#听张艺兴祈愿# 吧张艺兴@努力努力再努力x 为#求婚大作战# 亲自创作的原创主题曲《祈愿》今日曝光钢琴版MVhttp://t.cn/RXoLLGc特邀世界钢琴演奏界翘楚、著名钢琴家@宋思衡 先生倾情演奏。宋思衡先生对小赖学长的音乐才华十分欣赏，称赞这首原创主题曲《祈愿》不仅好听，更拥有一种优雅的青春气息，让人过耳不忘。单曲循环起来啦#求婚大作战424修正青春#         [组图共3张]      原图                     ",无,2017-04-21 14:04,weibo.com,222156,254072,91749
EEWm9nqxK,"转发理由:致敬每一位 保家卫国的军人 谢谢你们  
原始用户: 人民日报
转发内容: 【感动！海军版《成都》，唱哭无数异地恋军人】对得起这身军装，对得起这片海疆，真的只能对不起你。忍受了太多分离，为你默默敬一个军礼！海军版《成都》，唱哭无数异地恋军人。http://t.cn/RXcXySO 向军人和家属致敬！（东海舰队）  ",无,2017-04-17 17:29,weibo.com,262908,73653,67720
EEdEj4sTE,下次见 应该可能大概也许不会太久 吧  [组图共4张] 原图 ,无,2017-04-12 23:40,weibo.com,663105,757488,261010
EDsgByQmU,想…我…mei…？  [组图共3张] 原图 ,无,2017-04-07 23:02,weibo.com,988996,478457,344166
EBjrGvZeM,今天 http://t.cn/R6V8gg2 .  ,无,2017-03-24 20:54,weibo.com,471040,1000000,292243
EBalEgQDL,牛逼  ,无,2017-03-23 21:45,weibo.com,764064,1000000,232764
Excih7mH2,"转发理由:哎哟 赖哥 挺帅啊  
原始用户: 电视剧求婚大作战
转发内容: 由@SMG尚世影业  和@腾讯视频 联合出品的校园爱情剧#求婚大作战# 今天曝光首款片花天使@張智霖  率先现身引领“婚礼逆转”，张艺兴@努力努力再努力x 重返青春，和@陈都灵 还原记忆中初恋那些小事与@李程彬 @张昊唯 @赵圆瑗 @吕炸炸 修正青春，收获成长http://t.cn/RiLPAkL  [组图共9张] 原图 ",无,2017-02-25 19:21,weibo.com,426523,1000000,409660
EwSzctpDF,我最近在充电很开心你们呢 过的好吗？  [组图共2张] 原图 ,无,2017-02-23 17:07,weibo.com,701315,1000000,293974
EvYrS63d4,#张艺兴触触触手# 听小触说你们想我了 那2月18日18:00 我们在@触手直播平台 一起开车吧 我的房间号 1222  直播链接 http://t.cn/RJ0eN3B这场直播你们一定要来在此之前给你们看个宝贝 http://t.cn/RJQFp1w  ,无,2017-02-17 18:15,weibo.com,336443,1000000,203087
EvGpkcmrC,今天我杀青感谢各位演员 跟你们合作真的很开心感谢《求婚大作战》所有工作人员为这部剧付出的努力 导演 摄像 制片 编剧 灯光 录音 外联 置景 美术 道具 场务 服装 梳化 跟组 群演 司机等等 相信因为大家的付出 播出时会呈现给大家大大的惊喜此刻有些词穷 不知道如何表达我的心情总之 大家一定要期待             [组图共9张]      原图                             ,无,2017-02-15 20:20,weibo.com,608223,1000000,190920
EvuaPuWm4,哎…  原图 ,无,2017-02-14 13:11,weibo.com,801765,1000000,168825
Ev3Fob28J,翻到了一段很“远”的视频祝大家 “圆”宵节快乐团团圆圆 长长远远 http://t.cn/RJxSiRK .  ,无,2017-02-11 17:42,weibo.com,413515,1000000,169072
EtXg7uhpQ,好久没跳舞了 想活动一下 http://t.cn/RxgjHKI  ,无,2017-02-04 11:33,weibo.com,582806,1000000,157587
EtPoWhTq3,"转发理由:我一个湖南人也想看迅哥加油 //@演员王迅:我们仨，一个四川人，一个河南人，一个东北人，来了这么一段散装粤语歌曲，见笑见笑，你只能凑合听啦！但是电影《东北往事之破马张飞》绝对是原装好货！千万别错过！  
原始用户: 东北往事之破马张飞
转发内容: #东北往事之破马张飞#今日全国公映，并曝光致敬版主题曲《光辉岁月》！英雄不问出处，仗义不分南北，笑点承包全国！@贾乃亮@演员马丽@演员王迅@演员梁超@主持人脸脸@屈菁菁@九孔NineHole@演员刘慧 以及#金士杰#@曾志偉獎門人 喜剧神兽们全部就位，准备好“笑出马贾线”吧！秒拍视频  ",无,2017-02-03 15:33,weibo.com,286223,139388,22783
EtqFawafG,Xback 跟我亲爱的@CoCo李玟 姐 just dance tonight http://t.cn/RxEUPtL .  ,无,2017-02-01 00:34,weibo.com,445861,1000000,72471
Eto9o6Jis,"转发理由:新年遇到coco姐 也会好运一整年coco姐非常非常非常非常非常非常可爱  
原始用户: CoCo李玟
转发内容: 新年遇到小绵羊，一定好运一整年！@努力努力再努力x 张艺兴一个非常非常非常可爱的男生  原图 ",无,2017-01-31 18:10,weibo.com,489837,102071,30374
Et3biwGni,#秒拍星拜年# 新年阖家欢 打笑新春飙车过瘾 藏獒帅气谢谢大家多多支持#电影功夫瑜伽# 努力努力再努力xu9r40的秒拍视频  [组图共3张] 原图 ,无,2017-01-29 12:47,weibo.com,614596,603505,66462
EsUstBKr3,"转发理由:#红包狂欢新闻不打烊# 大年初一 又有红包收了我也要去开工了 新的一年继续加油啊各位  
原始用户: 新浪新闻客户端
转发内容: 【点击领取新浪百万现金红包】鸡年送福，红包来袭。一键点击参与，就能领红包！每日参与100%中奖，最高200元现金，还有手机、千元现金卡等你来抢。 #红包狂欢新闻不打烊# 新浪新闻客户端，吉祥新春壕礼送不停~~ 新浪新闻客户端 的红包  ",无,2017-01-28 14:35,weibo.com,344620,23683,21560
EsPBDg6bN,第一次上春晚没见过这么大场面 也不敢拿手机 就偷拍了一盆花以前都是在家里看这盆花的几十年做了个梦 今天圆满了感谢春晚 感谢央视 感谢过去的每一年祝大家鸡年大吉 生机勃勃  [组图共3张] 原图 ,无,2017-01-28 02:14,weibo.com,1324544,1000000,151519
EsOJevsSB,新春快乐 我在#春晚# 现场给大家发红包啦 祝全国人民鸡年大吉 万事如意 新的一年红火大发 边看边聊嗨春晚  ,无,2017-01-28 00:00,weibo.com,273211,42834,25773
EsOpOFNAu,春晚  ,无,2017-01-27 23:12,weibo.com,415004,45409,42977
EsCwndE0X,明天就是除夕了 先提前用家乡话给大家拜年 除夕夜也可以上微博聊#春晚# 哦 还有记得要#陪父母看春晚# 啊 http://t.cn/RxVjKDs  ,无,2017-01-26 16:55,weibo.com,443296,565574,75341
EsiA8F8KO,"转发理由:黄渤哥这么有才 小礼物必须走一波啦  
原始用户: 黄渤
转发内容: 新歌《过去了》的MV来咯～隆重介绍一下突破次元壁的MV男主角黄逗菌！不过剧情真的太纠结了纠结了结了纠结的黄逗菌、神经质的黄逗菌、戴小黄花的黄逗菌……未完待续…… #都过去了#http://t.cn/Rx21u1V（使用#秒拍#录制,免流量看热门短视频!）  ",无,2017-01-24 14:09,weibo.com,266280,131068,27444
ErJkpFqJa,"转发理由:不光在回家路上 哥们儿 也在 音乐路上 [加油]加油  
原始用户: 李治廷
转发内容: #亚洲新歌榜##李治廷回家路上#雖然很久沒寫歌了，但這首歌在心裡已很久了。這個小年節，我想把這首歌送給你，無論你在哪兒，在做什麼，希望這首歌，能帶你回家。回家路上-李治廷  ",无,2017-01-20 20:25,weibo.com,301898,166860,50345
ErgOR7K4w,五年算什么 我们还有五十年  [组图共5张] 原图 ,无,2017-01-17 19:50,weibo.com,857494,1000000,174012
EqsQClljS,明天再做的人是笨蛋 说你呢 盐小赖 #求婚大作战修正青春版海报#  原图 ,无,2017-01-12 12:37,weibo.com,438220,1000000,108434
Eq3RG1qEj,首先 这是一张非常用心的专辑 我涉及了一些 自己没有涉及过的领域 学到了很多知识 谢谢所有为了这张专辑的制作 发行 出版 宣传等 默默付出的幕后工作人员 谢谢我希望大家能够陪我一路成长这张专辑 让我非常感动因为 我亲爱的兴迷Xback们 这么支持这张专辑我只想通过持续不断的努力给你们带来更好的音乐有很多的意想不到有很多的不可思议把这一切的力量 化作二儿子出生的动力请大家可以多多期待二儿子的诞生也期望它的产品质量能够超越大儿子的水平音乐是我生命的一部分我真的太爱音乐了太热爱太热爱了谢谢你们 用你们所有的爱 凝聚成保护我梦想的力量让我可以去挑战每一次的异想天开 和天马行空希望我们一起见证儿子们加冕为王（拉钩）             [组图共4张]      原图                             ,无,2017-01-09 21:01,weibo.com,649967,1000000,145086
EpLrLh6Ax,快到新年了 谢谢Xback和@Planters美国绅士_中国官微 为我应援 现在换我来给你们送年货@天猫 http://t.cn/RM5gTGl 还有一些悄悄话要对你们说 嘘 这段录音适合安静听http://t.cn/RMto6aA  [组图共5张] 原图 ,无,2017-01-07 22:08,weibo.com,518475,852776,68090
EoHefFGDS,#东方卫视跨年#  热身中 等我  http://t.cn/RID77Q3 .  ,无,2016-12-31 21:33,weibo.com,566739,933714,129860
EocWucfUE,2000万福利 为什么发晚了呢 因为是 慢动作 http://t.cn/RIEj5cE .  ,无,2016-12-28 16:27,weibo.com,388688,758753,82935
EnD5k8zBN,圣诞快乐 各位最近 过得怎么样  [组图共2张] 原图 ,无,2016-12-24 21:10,weibo.com,849554,990243,153964
EnaVP74pQ,大家辛苦了 谢谢你们一直在我身边 总之感恩 感慨 感动 感谢[祈祷]  [组图共9张] 原图 ,无,2016-12-21 21:29,weibo.com,571369,789701,106890
EmpVildtA,听说有人想我？是你么？我在这一个人有点孤单（严肃脸）  [组图共5张] 原图 ,无,2016-12-16 21:49,weibo.com,928102,990112,208843
EkQlev6ZD,"转发理由:最重要的忘了说 哈哈 @黄磊微博 师父 生日快乐  
原始用户: 努力努力再努力x
转发内容: 谢谢师父的谆谆教诲 我会好好努力 好好休息 期待师父的电影麻烦家族  ",无,2016-12-06 13:24,weibo.com,417947,336210,45644
EkPQT5gfO,谢谢师父的谆谆教诲 我会好好努力 好好休息 期待师父的电影麻烦家族  ,无,2016-12-06 12:09,weibo.com,470174,582375,41198
EjsSKAwsU,@演员王迅 哥祝你生日快乐 谢谢你对我的关心 照顾 希望你和师父一起 玩好吃好喝好 幸福美满  ,无,2016-11-27 11:50,微博 weibo.com,567244,239579,55286
EjcxNC8Yf,努力努力再努力x 坚持运动 也可以增强抗寒能力 不一定非得穿秋裤 你们说对吧 #运动教室#  [组图共5张] 原图 ,无,2016-11-25 18:14,微博运动,831326,515474,98799
Ej3hGk3wS,感恩节快乐 非常感谢 一路支持的人们我随着时间 年龄的变化 有不同的样子和想法以及行动  周围的一切也在 悄然变化着谢谢不改变的 你们的爱 我的兴迷们（Xback兴迷 英文版）谢谢培养我 教育我的老师  谢谢 每一位 照顾我的前辈谢谢工作室的小秘书们特别是极限男人帮的哥哥们谢谢 我的团队exo的每一位队员谢谢爸爸妈妈爷爷外婆谢谢自己 谢谢一切 感恩一切                                 ,无,2016-11-24 18:40,HUAWEI nova手机,551636,373309,89431
Ei78NgvFr,"转发理由:欢迎回家 敬礼  
原始用户: 人民日报
转发内容: 【返回舱成功着陆！欢迎#神十一航天员回家#！】北京时间14时许，神舟十一号飞船返回舱顺利降落在主着陆场，神舟十一号，欢迎回家！  [组图共9张] 原图 ",无,2016-11-18 14:39,HUAWEI nova手机,417700,159773,37599
EhyvD5amR,期待在北京跟大家见面 很快了哦  原图 ,无,2016-11-14 22:29,HUAWEI nova手机,720511,972750,132923
EgXXN5aFW,"转发理由:没事的姐姐 你也不要太在意 有机会去台湾带我吃卤肉饭  
原始用户: 侯佩岑
转发内容: 真的不应该出现这样的错误 再一次郑重的向@努力努力再努力x 道歉 谢谢你不但没有介意  还反过来安慰我 由衷珍惜你的温暖 张艺兴 你好棒  ",无,2016-11-11 01:27,HUAWEI nova手机,433935,43009,42421
EgkrX6NCl,很抱歉 好像最近广告太多了 我会慢慢回来的啊 我会注意的 还是很喜欢在这里 跟大家沟通 和交流 谢谢你们陪我一起 lose control  原图 ,无,2016-11-06 20:51,HUAWEI nova手机,811694,833308,143560
EfY7qDiH0,"转发理由:#求婚大作战# 哈里路亚 chance  
原始用户: 电视剧求婚大作战
转发内容: 每个人的手中都握有打开奇迹之门的钥匙，只是能察觉到这把钥匙存在的人，少之又少。我是你们最爱的天使大叔，欢迎 张艺兴@努力努力再努力x @陈都灵 加入中国版#求婚大作战# ，加入这场改变命运，打开奇迹之门的时间旅程  [组图共3张] 原图 ",无,2016-11-04 12:00,HUAWEI nova手机,361703,373119,78570
EeNVMeNC3,4小时后 跟我一起 lose control  [组图共2张] 原图 ,无,2016-10-27 20:14,HUAWEI nova手机,1044922,683622,144674
